Treat,ID,FoF,TuoTu,ChoCh,MoM,F o Ca,F o Tu,F o Ai,M o F,Li o F,Ch o F,L o F,B o F,Ar o F,Cd o F,Fs o F,Ar o M,Ar o Tu,Tu o Ca,Ar o Ch,Ar o Ca,L o Ca,M o Ca,M o Ai,M o L,M o Tu,Ch o Ca,Ch o Tu,Ch o M,Cv o F
1,2,264,0,0,0,5,15,0,4,0,1,1,0,4,4,0,0,1,0,0,0,1,0,0,0,0,1,0,0,4
2,3,251,0,0,0,7,2,0,9,0,8,2,0,2,0,0,0,0,0,1,0,0,2,0,0,1,0,1,0,2
summer,7,222,1,0,0,5,8,0,0,0,4,2,2,9,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0
control,9,116,0,0,0,8,6,0,4,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summer,10,371,0,0,0,4,5,0,3,3,35,3,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0
2,12,221,1,0,0,3,16,0,2,0,8,6,0,6,0,0,0,1,0,0,0,0,0,2,0,0,0,1,0,6
2,13,81,0,0,0,3,11,0,4,0,3,0,0,2,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,9
1,14,384,1,1,0,2,16,0,7,0,19,5,0,11,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,9
summer,15,237,0,0,0,8,8,1,7,0,0,1,0,5,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3
2,18,44,0,0,0,0,7,0,3,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
summer,19,458,0,0,0,12,0,0,9,0,12,4,0,10,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1
control,26,123,0,0,0,5,7,0,6,0,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
control,29,82,0,0,0,8,5,0,3,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
control,42,59,0,0,0,8,2,0,4,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1,59,418,0,0,2,5,5,0,8,1,4,4,1,16,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1,62,188,0,0,0,7,7,0,5,0,7,3,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5
previous,A,72,0,0,0,8,4,0,5,0,1,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
previous,B,117,0,0,0,7,7,0,5,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
previous,C,79,0,0,0,8,5,0,3,0,1,1,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
previous,D,100,0,0,0,9,5,0,5,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
